mr bradlaugh,1520
mrs besant,1000
lord chief,728
chief justice,719
bradlaugh mrs,461
queens bench,262
fruits philosophy,234
bradlaugh said,227
obscene book,203
public morals,199
charles bradlaugh,145
annie besant,145
mr charles,137
verdict guilty,134
bench division,132
mr straight,123
quash indictment,115
prosecution mr,112
publishing obscene,109
solicitor general,109
mrs annie,108
new trial,108
justice said,107
mr justice,105
special jury,103
justice mellor,102
alderman figgins,97
trial mr,96
population question,88
besant mr,86
book obscene,86
mr mead,85
deprave public,84
bradlaugh besant,81
court queens,81
unreadable text,81
checks population,78
calculated deprave,77
central criminal,75
criminal court,74
straight mr,74
said would,69
case queen,68
entitled fruits,65
learned counsel,64
mr alderman,63
book calculated,61
publication book,60
queen bradlaugh,57
verdict jury,57
publishing book,56
thomas dakin,55
defendants corrupt,55
24th march,55
jury found,55
mr bradlaughs,54
court would,53
douglas straight,51
essay population,51
mr douglas,51
besant said,50
question whether,50
two years,49
said case,48
years ago,48
sir thomas,48
court justice,47
book published,45
obscene libel,45
moved quash,44
book entitled,44
jury would,44
solicitorgeneral said,43
case adjourned,43
medical works,43
besant publishing,43
appeared prosecution,43
court rose,42
court error,42
solicitorgeneral mr,42
justice mr,41
boys girls,41
addressed court,41
work obscene,40
published obscene,40
john stuart,40
writ certiorari,40
book mr,40
fine 200,39
case mr,39
mead appeared,39
charge mr,39
figgins said,39
set law,39
months pay,39
large number,39
arrest judgment,39
house lords,38
dr knowlton,38
knowltons pamphlet,38
bradlaugh prosecution,38
pay fine,37
since verdict,37
mr martin,37
medical work,36
bradlaugh case,36
corrupt motive,36
case prosecution,36
case one,36
called fruits,35
alleged immoral,35
imprisoned six,35
certiorari remove,35
straight said,35
increase population,35
dr drysdale,34
common law,34
general circulation,34
medical man,34
carpenters physiology,34
stuart mill,34
formal evidence,34
besant addressed,33
motive publishing,33
mr watts,33
morals entirely,33
national reformer,33
court crowded,33
work published,33
work question,32
prosecution defendants,32
book would,32
judgment roll,32
indecent book,32
committed trial,32
court trial,31
obscene work,31
indictment mr,31
besant resumed,31
whole book,31
put forward,31
enter recognisances,31
work mr,31
lordship said,31
police court,30
high court,30
exonerated defendants,30
indictment ground,30
justice cockburn,30
bradlaugh mr,30
would go,30
500 good,30
would say,30
six months,30
besant appeared,30
priest absolution,29
yesterday mr,29
large families,29
court adjourned,29
division high,29
address jury,29
guildhall police,29
would ask,29
chief clerk,29
prosecution mrs,29
must direct,28
charles knowlton,28
pass sentence,28
addressed jury,28
sell book,28
dakin said,28
jury sworn,28
guildhall policecourt,27
found guilty,27
church england,27
made statement,27
defence mrs,27
corrupt intention,27
continued address,27
day week,27
publish book,27
political economy,27
alleged obscene,27
pleaded guilty,27
philosophy mr,27
young men,27
scientific checks,26
move quash,26
medical men,26
finding jury,26
copies work,26
useful necessary,26
work calculated,26
would give,25
judge special,25
besant proceeded,25
good intention,25
martin chief,25
many years,25
man woman,25
show cause,25
allowed go,25
justice special,25
mr darwins,25
natural checks,25
published book,25
published work,25
philosophy essay,25
copy book,25
set forth,25
never brought,25
received letter,25
said mrs,25
sale book,25
opened case,24
city solicitor,24
bench lord,24
conducted defence,24
